experiment,phase,run_level,status,metric_split,seed,max_epochs,best_epoch,ACC,Kappa,Macro-F1,config,commit,physical_gpu,log,checkpoint,change
P1,stage1,formal100,complete,validation,42,100,95,0.923996,0.916744,0.829974,configs/new_s0_reverse_kg_pharmacophore_p1_128_mean.py,42d74bb,4,work_dirs/formal100_v5_p1/20260813_152743.log,work_dirs/formal100_v5_p1/model_parameter/model_best_epoch100_seen42.pkl,128 pairs; mean pooling; no gate; exact epochs 1-100 verified
P2,stage1,formal100,complete,validation,42,100,99,0.927197,0.920184,0.835698,configs/new_s0_reverse_kg_pharmacophore_p2_512_sum.py,42d74bb,6,work_dirs/formal100_v5_p2/20260813_152744.log,work_dirs/formal100_v5_p2/model_parameter/model_best_epoch100_seen42.pkl,512 pairs; sum pooling; no gate; exact epochs 1-100 verified
P3,stage1,formal100,complete,validation,42,100,84,0.917562,0.909645,0.848417,configs/new_s0_reverse_kg_pharmacophore_p3_128_sum_gate.py,42d74bb,7,work_dirs/formal100_v5_p3/20260813_152746.log,work_dirs/formal100_v5_p3/model_parameter/model_best_epoch100_seen42.pkl,128 pairs; sum pooling; gate; exact epochs 1-100 verified
P6,stage1,formal100,superseded,validation,42,100,,,,,configs/new_s0_reverse_kg_pharmacophore_p6_128_mean_gate.py,b236b62,1,,,optional control not run; user judged it unnecessary
P7,stage1,formal100,superseded,validation,42,100,,,,,configs/new_s0_reverse_kg_pharmacophore_p7_512_sum_gate.py,b236b62,2,,,optional control not run; user judged it unnecessary
P8,stage1,formal100,running,validation,42,100,,,,,configs/new_s0_reverse_kg_pharmacophore_p8_256_sum.py,1b4c678,6,work_dirs/formal100_p8_256_sum/20260814_181006.log,work_dirs/formal100_p8_256_sum/model_parameter/model_best_epoch100_seen42.pkl,256 pairs; sum pooling; no gate; intermediate pair-count control
P2,stage1,finaltest,complete,test,42,100,99,0.927150,0.920189,0.834817,configs/new_s0_reverse_kg_pharmacophore_p2_512_sum.py,42d74bb,6,work_dirs/formal100_v5_p2/eval_20260814_163630.log,work_dirs/formal100_v5_p2/model_parameter/model_best_epoch100_seen42.pkl,validation-selected checkpoint; PR-AUC-macro 0.900871; PR-AUC-micro 0.978550
P3,stage1,finaltest,complete,test,42,100,84,0.916101,0.908090,0.821463,configs/new_s0_reverse_kg_pharmacophore_p3_128_sum_gate.py,42d74bb,7,work_dirs/formal100_v5_p3/eval_20260814_163630.log,work_dirs/formal100_v5_p3/model_parameter/model_best_epoch100_seen42.pkl,validation-selected checkpoint; PR-AUC-macro 0.892496; PR-AUC-micro 0.973895
P1,stage1,finaltest,complete,test,42,100,95,0.925342,0.918265,0.832006,configs/new_s0_reverse_kg_pharmacophore_p1_128_mean.py,42d74bb,4,work_dirs/formal100_v5_p1/eval_20260814_172120.log,work_dirs/formal100_v5_p1/model_parameter/model_best_epoch100_seen42.pkl,validation-selected checkpoint; PR-AUC-macro 0.896969; PR-AUC-micro 0.977814
Struct-S1,stage2,debug,superseded,validation,42,3,,,,,configs/new_s0_struct_s1_pharmacophore_replaces_substructure.py,afd46c5,,,,provisional P3-based debug not used for ranking; formal config rebased to P0
Struct-S3,stage2,debug,superseded,validation,42,3,,,,,configs/new_s0_struct_s3_fixed_substructure_pharmacophore.py,88a5e2f,,,,provisional P3 template superseded; formal config rebased to P0
Struct-S1,stage2,formal100,running,validation,42,100,,,,,configs/new_s0_struct_s1_pharmacophore_replaces_substructure.py,7232a00,4,work_dirs/formal100_struct_s1_p0/20260814_175909.log,work_dirs/formal100_struct_s1_p0/model_parameter/model_best_epoch100_seen42.pkl,P0 controls; remove queried substructure; retain pharmacophore and KG
Struct-S3,stage2,formal100,running,validation,42,100,,,,,configs/new_s0_struct_s3_fixed_substructure_pharmacophore.py,7232a00,5,work_dirs/formal100_struct_s3_p0/20260814_175911.log,work_dirs/formal100_struct_s3_p0/model_parameter/model_best_epoch100_seen42.pkl,P0 controls; fixed substructure base plus pharmacophore and KG
Struct-S4,stage2,engineering,complete,validation,42,3,3,,,,configs/new_s0_struct_s4_fixed_substructure.py,daa87a1,4,work_dirs/debug_struct_s4_3ep_100steps/20260811_193119.log,,limited 100 steps per epoch; execution and alpha evidence only; controlled full-epoch debug pending
Struct-S4,stage2,debug,pending,validation,42,3,,,,,configs/new_s0_struct_s4_fixed_substructure.py,,,,,controlled full-epoch debug required before screening
Struct-S4,stage2,formal100,complete,validation,42,100,100,0.919065,0.911319,0.785700,configs/new_s0_struct_s4_fixed_substructure.py,b236b62,0,work_dirs/formal100_struct_s4/20260814_112439.log,work_dirs/formal100_struct_s4/model_parameter/model_best_epoch100_seen42.pkl,exact epochs 1-100 verified; stage-one-independent fixed-substructure base; alpha trajectory recorded
Struct-S4,stage2,finaltest,complete,test,42,100,100,0.919130,0.911441,0.794708,configs/new_s0_struct_s4_fixed_substructure.py,b236b62,0,work_dirs/formal100_struct_s4/eval_20260814_163631.log,work_dirs/formal100_struct_s4/model_parameter/model_best_epoch100_seen42.pkl,validation-selected checkpoint; final alpha 11.060376; PR-AUC-macro 0.881621; PR-AUC-micro 0.974402
T2-64,stage3,debug,pending,validation,42,3,,,,,configs/new_s0_pharmacophore_t2_top64.py,5e0ee29,,,,candidate-specific pair Top-64
T3-128,stage3,debug,pending,validation,42,5,,,,,configs/new_s0_pharmacophore_t3_top128.py,5e0ee29,7,,,candidate-specific pair Top-128; tmux permission rejected before launch
T3-128-softmax-null,stage3,formal100,running,validation,42,100,,,,,configs/new_s0_pharmacophore_t3_top128.py,3380396,7,work_dirs/formal100_t3_top128_softmax/20260814_183301.log,work_dirs/formal100_t3_top128_softmax/model_parameter/model_best_epoch100_seen42.pkl,candidate-specific pair Top-128; softmax over selected real pairs plus pharmacophore null token
T3-128-sigmoid-mean,stage3,formal100,running,validation,42,100,,,,,configs/new_s0_pharmacophore_t3_top128_sigmoid_mean.py,3380396,3,work_dirs/formal100_t3_top128_sigmoid_mean/20260814_183309.log,work_dirs/formal100_t3_top128_sigmoid_mean/model_parameter/model_best_epoch100_seen42.pkl,candidate-specific pair Top-128; independent sigmoid weights divided by valid pair count; no pharmacophore null token
T2-256,stage3,debug,pending,validation,42,3,,,,,configs/new_s0_pharmacophore_t2_top256.py,5e0ee29,,,,candidate-specific pair Top-256
D3-12,stage3,engineering,superseded,validation,42,3,,,,,configs/new_s0_pharmacophore_d3_drug_top12.py,04b68de,4,work_dirs/debug_d3_top12_optimized_3ep_5steps/20260811_194223.log,,five steps per epoch under provisional controls and pre-correction implementation; rerun required
D3-12,stage3,debug,pending,validation,42,3,,,,,configs/new_s0_pharmacophore_d3_drug_top12.py,,,,,controlled full-epoch debug required after direct-pair and shared-encoder corrections
D3-16,stage3,debug,pending,validation,42,3,,,,,configs/new_s0_pharmacophore_d3_drug_top16.py,5e0ee29,,,,candidate-specific per-drug Top-16 then Cartesian pairs
